step,throughput_bps,rtt_us,cum_packet_loss
228,259200.00,184790.00,0
229,230400.00,183170.00,0
230,230400.00,180631.00,0
231,259200.00,179808.00,0
232,230400.00,179272.00,0
233,259200.00,179485.00,0
234,230400.00,179212.00,0
235,230400.00,179271.00,0
236,259200.00,184839.00,0
237,230400.00,189044.00,0
238,230400.00,190615.00,0
239,259200.00,185440.00,0
240,230400.00,181312.00,0
241,230400.00,180019.00,0
242,259200.00,184818.00,0
243,230400.00,189205.00,0
244,259200.00,184226.00,0
245,230400.00,180926.00,0
246,230400.00,179886.00,0
247,259200.00,184775.00,0
248,230400.00,189191.00,0
249,230400.00,184514.00,0
250,259200.00,181032.00,0
251,230400.00,179886.00,0
252,259200.00,179494.00,0
253,230400.00,185234.00,0
254,230400.00,183133.00,0
255,259200.00,180636.00,0
256,230400.00,179704.00,0
257,230400.00,179286.00,0
258,259200.00,184791.00,0
259,230400.00,183145.00,0
260,230400.00,180692.00,0
261,259200.00,179763.00,0
262,230400.00,179287.00,0
263,259200.00,179485.00,0
264,230400.00,179187.00,0
265,230400.00,179332.00,0
266,259200.00,184793.00,0
267,230400.00,189045.00,0
268,230400.00,190621.00,0
269,259200.00,185422.00,0
270,230400.00,181366.00,0
271,230400.00,179977.00,0
272,259200.00,184830.00,0
273,230400.00,189202.00,0
274,259200.00,184205.00,0
275,230400.00,180980.00,0
276,230400.00,179844.00,0
277,259200.00,184787.00,0
278,230400.00,189189.00,0
279,230400.00,184492.00,0
280,259200.00,181078.00,0
281,230400.00,179844.00,0
282,259200.00,179518.00,0
283,230400.00,185216.00,0
284,230400.00,183113.00,0
285,259200.00,180677.00,0
286,230400.00,179667.00,0
287,230400.00,179315.00,0
288,259200.00,184778.00,0
289,230400.00,183124.00,0
290,230400.00,180745.00,0
291,259200.00,179723.00,0
292,230400.00,179315.00,0
293,259200.00,179472.00,0
294,230400.00,179165.00,0
295,230400.00,179384.00,0
296,259200.00,184753.00,0
297,230400.00,189061.00,0
298,230400.00,190611.00,0
299,259200.00,185406.00,0
300,230400.00,181414.00,0
301,230400.00,179941.00,0
302,259200.00,184855.00,0
303,230400.00,189185.00,0
304,259200.00,184187.00,0
305,230400.00,181027.00,0
306,230400.00,179808.00,0
307,259200.00,184812.00,0
308,230400.00,189171.00,0
309,230400.00,184472.00,0
310,259200.00,181119.00,0
311,230400.00,179807.00,0
312,259200.00,179552.00,0
313,230400.00,185185.00,0
314,230400.00,183096.00,0
