step,throughput_bps,rtt_us,cum_packet_loss
228,230400.00,203235.00,0
229,230400.00,203121.00,0
230,259200.00,203162.00,0
231,230400.00,203250.00,0
232,230400.00,203085.00,0
233,259200.00,203283.00,0
234,230400.00,203148.00,0
235,259200.00,203170.00,0
236,230400.00,203252.00,0
237,230400.00,203086.00,0
238,259200.00,203284.00,0
239,230400.00,203148.00,0
240,230400.00,203137.00,0
241,259200.00,203273.00,0
242,230400.00,203086.00,0
243,230400.00,203235.00,0
244,259200.00,203114.00,0
245,230400.00,203174.00,0
246,259200.00,203236.00,0
247,230400.00,203075.00,0
248,230400.00,203313.00,0
249,259200.00,203140.00,0
250,230400.00,203182.00,0
251,230400.00,203252.00,0
252,259200.00,203082.00,0
253,230400.00,203313.00,0
254,230400.00,203148.00,0
255,259200.00,203170.00,0
256,230400.00,203252.00,0
257,259200.00,203082.00,0
258,230400.00,203252.00,0
259,230400.00,203106.00,0
260,259200.00,203197.00,0
261,230400.00,203218.00,0
262,230400.00,203075.00,0
263,259200.00,203303.00,0
264,230400.00,203129.00,0
265,259200.00,203205.00,0
266,230400.00,203221.00,0
267,230400.00,203076.00,0
268,259200.00,203304.00,0
269,230400.00,203129.00,0
270,230400.00,203182.00,0
271,259200.00,203239.00,0
272,230400.00,203076.00,0
273,230400.00,203252.00,0
274,259200.00,203100.00,0
275,230400.00,203215.00,0
276,259200.00,203207.00,0
277,230400.00,203081.00,0
278,230400.00,203321.00,0
279,259200.00,203122.00,0
280,230400.00,203222.00,0
281,230400.00,203221.00,0
282,259200.00,203085.00,0
283,230400.00,203321.00,0
284,259200.00,203122.00,0
285,230400.00,203222.00,0
286,230400.00,203221.00,0
287,259200.00,203085.00,0
288,230400.00,203252.00,0
289,230400.00,203092.00,0
290,259200.00,203228.00,0
291,230400.00,203191.00,0
292,230400.00,203081.00,0
293,259200.00,203307.00,0
294,230400.00,203113.00,0
295,259200.00,203234.00,0
296,230400.00,203193.00,0
297,230400.00,203082.00,0
298,259200.00,203307.00,0
299,230400.00,203113.00,0
300,230400.00,203222.00,0
301,259200.00,203209.00,0
302,230400.00,203082.00,0
303,230400.00,203252.00,0
304,259200.00,203088.00,0
305,230400.00,203250.00,0
306,259200.00,203181.00,0
307,230400.00,203102.00,0
308,230400.00,203312.00,0
309,259200.00,203107.00,0
310,230400.00,203256.00,0
311,230400.00,203193.00,0
312,259200.00,203102.00,0
313,230400.00,203312.00,0
314,259200.00,203107.00,0
315,230400.00,203256.00,0
316,230400.00,203193.00,0
317,259200.00,203102.00,0
318,230400.00,203236.00,0
319,230400.00,203081.00,0
320,259200.00,203255.00,0
321,230400.00,203167.00,0
322,230400.00,203102.00,0
323,259200.00,203296.00,0
324,230400.00,203099.00,0
325,259200.00,203261.00,0
326,230400.00,203169.00,0
327,230400.00,203103.00,0
328,259200.00,203297.00,0
329,230400.00,203099.00,0
330,230400.00,203256.00,0
331,259200.00,203183.00,0
332,230400.00,203103.00,0
333,230400.00,203236.00,0
334,259200.00,203077.00,0
335,230400.00,203281.00,0
336,259200.00,203158.00,0
337,230400.00,203136.00,0
338,230400.00,203288.00,0
339,259200.00,203094.00,0
340,230400.00,203287.00,0
341,230400.00,203169.00,0
342,259200.00,203131.00,0
343,230400.00,203289.00,0
344,259200.00,203094.00,0
345,230400.00,203287.00,0
346,230400.00,203169.00,0
347,259200.00,203131.00,0
348,230400.00,203207.00,0
349,230400.00,203071.00,0
350,259200.00,203278.00,0
351,230400.00,203146.00,0
352,230400.00,203136.00,0
353,259200.00,203273.00,0
354,230400.00,203086.00,0
355,259200.00,203284.00,0
356,230400.00,203148.00,0
357,230400.00,203137.00,0
358,259200.00,203273.00,0
359,230400.00,203086.00,0
360,230400.00,203287.00,0
361,259200.00,203160.00,0
362,230400.00,203137.00,0
363,230400.00,203207.00,0
364,259200.00,203067.00,0
365,230400.00,203309.00,0
366,259200.00,203138.00,0
367,230400.00,203182.00,0
368,230400.00,203252.00,0
369,259200.00,203082.00,0
370,230400.00,203313.00,0
371,230400.00,203148.00,0
372,259200.00,203170.00,0
373,230400.00,203252.00,0
374,259200.00,203082.00,0
375,230400.00,203313.00,0
376,230400.00,203148.00,0
377,259200.00,203156.00,0
378,230400.00,203181.00,0
379,230400.00,203062.00,0
380,259200.00,203299.00,0
381,230400.00,203128.00,0
382,230400.00,203182.00,0
383,259200.00,203239.00,0
384,230400.00,203076.00,0
385,259200.00,203304.00,0
386,230400.00,203129.00,0
387,230400.00,203182.00,0
388,259200.00,203239.00,0
389,230400.00,203076.00,0
390,230400.00,203313.00,0
391,259200.00,203140.00,0
392,230400.00,203166.00,0
393,230400.00,203181.00,0
394,259200.00,203072.00,0
395,230400.00,203317.00,0
